sample_fp	plate	round	well	tile
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0046_ChannelDAPI_Seq0046.nd2	1	1	B1	46
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0047_ChannelDAPI_Seq0047.nd2	1	1	B1	47
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0048_ChannelDAPI_Seq0048.nd2	1	1	B1	48
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0049_ChannelDAPI_Seq0049.nd2	1	1	B1	49
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0050_ChannelDAPI_Seq0050.nd2	1	1	B1	50
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0051_ChannelDAPI_Seq0051.nd2	1	1	B1	51
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0052_ChannelDAPI_Seq0052.nd2	1	1	B1	52
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0053_ChannelDAPI_Seq0053.nd2	1	1	B1	53
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0054_ChannelDAPI_Seq0054.nd2	1	1	B1	54
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0055_ChannelDAPI_Seq0055.nd2	1	1	B1	55
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0056_ChannelDAPI_Seq0056.nd2	1	1	B1	56
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0057_ChannelDAPI_Seq0057.nd2	1	1	B1	57
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0058_ChannelDAPI_Seq0058.nd2	1	1	B1	58
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0059_ChannelDAPI_Seq0059.nd2	1	1	B1	59
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0060_ChannelDAPI_Seq0060.nd2	1	1	B1	60
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0061_ChannelDAPI_Seq0061.nd2	1	1	B1	61
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0062_ChannelDAPI_Seq0062.nd2	1	1	B1	62
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0063_ChannelDAPI_Seq0063.nd2	1	1	B1	63
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0064_ChannelDAPI_Seq0064.nd2	1	1	B1	64
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0065_ChannelDAPI_Seq0065.nd2	1	1	B1	65
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0066_ChannelDAPI_Seq0066.nd2	1	1	B1	66
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0067_ChannelDAPI_Seq0067.nd2	1	1	B1	67
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0068_ChannelDAPI_Seq0068.nd2	1	1	B1	68
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0069_ChannelDAPI_Seq0069.nd2	1	1	B1	69
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0070_ChannelDAPI_Seq0070.nd2	1	1	B1	70
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0071_ChannelDAPI_Seq0071.nd2	1	1	B1	71
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0072_ChannelDAPI_Seq0072.nd2	1	1	B1	72
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0073_ChannelDAPI_Seq0073.nd2	1	1	B1	73
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0074_ChannelDAPI_Seq0074.nd2	1	1	B1	74
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0075_ChannelDAPI_Seq0075.nd2	1	1	B1	75
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0076_ChannelDAPI_Seq0076.nd2	1	1	B1	76
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0077_ChannelDAPI_Seq0077.nd2	1	1	B1	77
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0078_ChannelDAPI_Seq0078.nd2	1	1	B1	78
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0079_ChannelDAPI_Seq0079.nd2	1	1	B1	79
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0080_ChannelDAPI_Seq0080.nd2	1	1	B1	80
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0081_ChannelDAPI_Seq0081.nd2	1	1	B1	81
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0082_ChannelDAPI_Seq0082.nd2	1	1	B1	82
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0083_ChannelDAPI_Seq0083.nd2	1	1	B1	83
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0084_ChannelDAPI_Seq0084.nd2	1	1	B1	84
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0085_ChannelDAPI_Seq0085.nd2	1	1	B1	85
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0086_ChannelDAPI_Seq0086.nd2	1	1	B1	86
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0087_ChannelDAPI_Seq0087.nd2	1	1	B1	87
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0088_ChannelDAPI_Seq0088.nd2	1	1	B1	88
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0089_ChannelDAPI_Seq0089.nd2	1	1	B1	89
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0090_ChannelDAPI_Seq0090.nd2	1	1	B1	90
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0091_ChannelDAPI_Seq0091.nd2	1	1	B1	91
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0092_ChannelDAPI_Seq0092.nd2	1	1	B1	92
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0093_ChannelDAPI_Seq0093.nd2	1	1	B1	93
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0094_ChannelDAPI_Seq0094.nd2	1	1	B1	94
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0095_ChannelDAPI_Seq0095.nd2	1	1	B1	95
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0096_ChannelDAPI_Seq0096.nd2	1	1	B1	96
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0097_ChannelDAPI_Seq0097.nd2	1	1	B1	97
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0098_ChannelDAPI_Seq0098.nd2	1	1	B1	98
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0099_ChannelDAPI_Seq0099.nd2	1	1	B1	99
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0100_ChannelDAPI_Seq0100.nd2	1	1	B1	100
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0101_ChannelDAPI_Seq0101.nd2	1	1	B1	101
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0102_ChannelDAPI_Seq0102.nd2	1	1	B1	102
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0103_ChannelDAPI_Seq0103.nd2	1	1	B1	103
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0104_ChannelDAPI_Seq0104.nd2	1	1	B1	104
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0105_ChannelDAPI_Seq0105.nd2	1	1	B1	105
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0106_ChannelDAPI_Seq0106.nd2	1	1	B1	106
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0107_ChannelDAPI_Seq0107.nd2	1	1	B1	107
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0108_ChannelDAPI_Seq0108.nd2	1	1	B1	108
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0109_ChannelDAPI_Seq0109.nd2	1	1	B1	109
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0110_ChannelDAPI_Seq0110.nd2	1	1	B1	110
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0111_ChannelDAPI_Seq0111.nd2	1	1	B1	111
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0112_ChannelDAPI_Seq0112.nd2	1	1	B1	112
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0113_ChannelDAPI_Seq0113.nd2	1	1	B1	113
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0114_ChannelDAPI_Seq0114.nd2	1	1	B1	114
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0115_ChannelDAPI_Seq0115.nd2	1	1	B1	115
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0116_ChannelDAPI_Seq0116.nd2	1	1	B1	116
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0117_ChannelDAPI_Seq0117.nd2	1	1	B1	117
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0118_ChannelDAPI_Seq0118.nd2	1	1	B1	118
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0119_ChannelDAPI_Seq0119.nd2	1	1	B1	119
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0120_ChannelDAPI_Seq0120.nd2	1	1	B1	120
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0121_ChannelDAPI_Seq0121.nd2	1	1	B1	121
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0122_ChannelDAPI_Seq0122.nd2	1	1	B1	122
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0123_ChannelDAPI_Seq0123.nd2	1	1	B1	123
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0124_ChannelDAPI_Seq0124.nd2	1	1	B1	124
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0125_ChannelDAPI_Seq0125.nd2	1	1	B1	125
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0126_ChannelDAPI_Seq0126.nd2	1	1	B1	126
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0127_ChannelDAPI_Seq0127.nd2	1	1	B1	127
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0128_ChannelDAPI_Seq0128.nd2	1	1	B1	128
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0129_ChannelDAPI_Seq0129.nd2	1	1	B1	129
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0130_ChannelDAPI_Seq0130.nd2	1	1	B1	130
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0131_ChannelDAPI_Seq0131.nd2	1	1	B1	131
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0132_ChannelDAPI_Seq0132.nd2	1	1	B1	132
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0133_ChannelDAPI_Seq0133.nd2	1	1	B1	133
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0134_ChannelDAPI_Seq0134.nd2	1	1	B1	134
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0135_ChannelDAPI_Seq0135.nd2	1	1	B1	135
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0136_ChannelDAPI_Seq0136.nd2	1	1	B1	136
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0137_ChannelDAPI_Seq0137.nd2	1	1	B1	137
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0138_ChannelDAPI_Seq0138.nd2	1	1	B1	138
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0139_ChannelDAPI_Seq0139.nd2	1	1	B1	139
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0140_ChannelDAPI_Seq0140.nd2	1	1	B1	140
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0141_ChannelDAPI_Seq0141.nd2	1	1	B1	141
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0142_ChannelDAPI_Seq0142.nd2	1	1	B1	142
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0143_ChannelDAPI_Seq0143.nd2	1	1	B1	143
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0144_ChannelDAPI_Seq0144.nd2	1	1	B1	144
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0145_ChannelDAPI_Seq0145.nd2	1	1	B1	145
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0146_ChannelDAPI_Seq0146.nd2	1	1	B1	146
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0147_ChannelDAPI_Seq0147.nd2	1	1	B1	147
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0148_ChannelDAPI_Seq0148.nd2	1	1	B1	148
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0149_ChannelDAPI_Seq0149.nd2	1	1	B1	149
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0150_ChannelDAPI_Seq0150.nd2	1	1	B1	150
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0151_ChannelDAPI_Seq0151.nd2	1	1	B1	151
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0152_ChannelDAPI_Seq0152.nd2	1	1	B1	152
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0153_ChannelDAPI_Seq0153.nd2	1	1	B1	153
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0154_ChannelDAPI_Seq0154.nd2	1	1	B1	154
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0155_ChannelDAPI_Seq0155.nd2	1	1	B1	155
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0156_ChannelDAPI_Seq0156.nd2	1	1	B1	156
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0157_ChannelDAPI_Seq0157.nd2	1	1	B1	157
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0158_ChannelDAPI_Seq0158.nd2	1	1	B1	158
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0159_ChannelDAPI_Seq0159.nd2	1	1	B1	159
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0160_ChannelDAPI_Seq0160.nd2	1	1	B1	160
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0161_ChannelDAPI_Seq0161.nd2	1	1	B1	161
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0162_ChannelDAPI_Seq0162.nd2	1	1	B1	162
